;PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;;;;;;;;04/nov;;;;;;;;;;
;Instituto de Ciências Exatas e Informática;;;;;;;;05/nov;;;;;;;;;;
;Departamento de Engenharia de Software e Sistemas de Informação;;;;;;;;06/nov;;;;;;;;;;
;Sistemas de Informação;;;;;;;;07/nov;;;;;;;;;;
;Projeto: Aplicações para Processos de Negócios;;;;;;;;08/nov;;;;;;;;;;
;;;;;;;;;09/nov;;;;;;;;;;
;CondoSys;;;;;;;;10/nov;;;;;;;;;;
;;;;;;;;;11/nov;;;;;;;;;;
;ETAPA #5;;;;;;;FEEDBACK;12/nov;;;;;;;;;;
;Nº;Finalizar Até;Descrição da tarefa;Responsável;Status;Tempo Estimado (h);Tempo Gasto (h);Observações sobre a tarefa;13/nov;;;;;;;;;;
;1;24/nov;1ª Atividade: Realizar as correções solicitadas nos artefatos entregues anteriormente;joao victor/saulo;Concluído;3;5;os gateways da tarefa controle de acesso de visitantes, foram corrigidos.;14/nov;;o processo de modelagem está sendo corrigido, sendo feita uma revisão de todos os scripts que precisam ser corrigidos.;;;;;;;;
;2;24/nov;2ª Atividade: Escolher e descrever os indicadores de desempenho do processo de negócio;joao victor/saulo;Concluído;3;4;foram feitos graficos e tabelas na atividade de indicadores de desempenho de acordo com o controle de acesso.;15/nov;;;;;;;;;;
;6;24/nov;1ª Atividade: Realizar as correções solicitadas nos artefatos entregues anteriormente;Morgana;Concluído;2;2;"Correções feitas por Morgana:
Item: 7d e 7f, e 10b
Segue video com as correções.

https://youtu.be/teVcOEzdwNI

10b: documentação corrigida e atualizada segue em anexo na entrega.";#REF!;;;;;;;;;;
;7;24/nov;Realizar produçao de slides (nome do arquivo: CondoSys);joao victor/saulo;Concluído;3;4;foram produzidos os slides da quinta etapa.;#REF!;;;;;;;;;;
;8;24/nov;realizar o desenvolvimento de gráficos.;joao victor/saulo;Concluído;3;3;foi realizado a produçao de tabelas no controle de acesso.;#REF!;;;;;;;;;;
;9;24/nov;Criei o indicador: Quantidade Mensal de Moradores Cadastrados;Morgana;Concluído;1;1;Item registrado na seção 6. Indicadores de desempenho;#REF!;;;;;;;;;;
;10;24/nov;Relatório analítico: tabela de frequência e histograma (Quantidade Mensal de Moradores Cadastrados);Morgana;Concluído;1;1;Esse item foi documentado na seção 5. Relatórios analíticos.;#REF!;;;;;;;;;;
;11;15/nov; Associação de comandos SQL com relatórios analíticos (Quantidade Mensal de Moradores Cadastrados);Morgana;Concluído;1;1;Esse item foi documentado na seção 5.1. Associação de comandos SQL com relatórios analíticos,Obs.: O excel não permitiu colocar a data de realização certa que é 23/11/24;#REF!;;;;;;;;;;
;12;15/nov;"Check-list de avaliação do software desenvolvido;";Morgana;Concluído;1;1;Arquivo anexado a entrega 24/11/2024;;;;;;;;;;;
;13;15/nov;Indicador: Relatório de Acessos;Victor;Concluído;1;1;Item registrado na seção 6. Indicadores de desempenho;;;;;;;;;;;
;14;15/nov;Roteiro;Morgana;Concluído;1;1;Adicionei o roteiro no item 6.1 do documento;;;;;;;;;;;
;15;15/nov;Fiz todos os slides do power point da apresentação: nome do arquivo: CondoSysApresentação.;Morgana;Concluído;7;7;Será anexado na entrega;;;;;;;;;;;
;16;;;;;0;0;;;;;;;;;;;;
;17;;;;;0;0;;;;;;;;;;;;
;18;;;;;0;0;;;;;;;;;;;;
;19;;;;;0;0;;;;;;;;;;;;
;20;;;;;0;0;;;;;;;;;;;;
;21;;;;;0;0;;;;;;;;;;;;
;22;;;;;0;0;;;;;;;;;;;;
;23;;;;;0;0;;;;;;;;;;;;
;24;;;;;0;0;;;;;;;;;;;;
;25;;;;;0;0;;;;;;;;;;;;
;26;;;;;0;0;;;;;;;;;;;;
;27;;;;;0;0;;;;;;;;;;;;
;28;;;;;0;0;;;;;;;;;;;;
;29;;;;;0;0;;;;;;;;;;;;
;30;;;;;0;0;;;;;;;;;;;;
;31;;;;;0;0;;;;;;;;;;;;
;32;;;;;0;0;;;;;;;;;;;;
;33;;;;;0;0;;;;;;;;;;;;
;34;;;;;0;0;;;;;;;;;;;;
;35;;;;;0;0;;;;;;;;;;;;
;36;;;;;0;0;;;;;;;;;;;;
;37;;;;;0;0;;;;;;;;;;;;
;38;;;;;0;0;;;;;;;;;;;;
;39;;;;;0;0;;;;;;;;;;;;
;40;;;;;0;0;;;;;;;;;;;;
;41;;;;;0;0;;;;;;;;;;;;
;42;;;;;0;0;;;;;;;;;;;;
;43;;;;;0;0;;;;;;;;;;;;
;44;;;;;0;0;;;;;;;;;;;;
;45;;;;;0;0;;;;;;;;;;;;
;46;;;;;0;0;;;;;;;;;;;;
;47;;;;;0;0;;;;;;;;;;;;
;48;;;;;0;0;;;;;;;;;;;;
;49;;;;;0;0;;;;;;;;;;;;
;50;;;;;0;0;;;;;;;;;;;;
;;;;;Total:;27;31;;;;;;;;;;;;
;;;12;;12;;;;;;;;;;;;;;
;Distribuição de Tarefas;;;;;;;;;;;;;;;;;;
